"audit_id","ui_tab","ui_section","displayed_field","field_class","source_authority","current_explanation","current_formula","google_sheets_formula_template","required_inputs","units","date_scope","rounding_rule","validation_tolerance","missing_data_behavior","methodology_assessment","severity","approved_target_methodology","implementation_source","validation_status","notes"
"FORECAST-005","Forecast","Planning projection","Calendar year","calculated","System date plus year index","Labels year-from-now output with current calendar year plus projection year.","CalendarYear=YEAR(TODAY())+YearFromNow","'=YEAR(TODAY())+YearFromNow","Today; year index","Year","Today","Integer","Exact","N/A","Correct.","Low","Retain.","streamlit_app.py:render_forecast","Requires simple check",""
"FORECAST-006","Forecast","Planning projection","Chance of reaching target","stochastic-summary","Terminal simulation values","Fraction of terminal simulations at or above target.","Probability=COUNTIF(TerminalValues,"">=""&Target)/SimulationCount","'=COUNTIF(Simulations!Terminal:Terminal,"">=""&TargetValue)/COUNT(Simulations!Terminal:Terminal)","Terminal values; target","Probability","Forecast horizon","0% display","Exact for same simulations; 0.5 percentage point display","Not shown without target.","Correct conditional probability, not objective certainty.","High","Retain planning disclaimer.","chat_alpaca/forecasting.py:simulate_portfolio_projection","Requires seeded reproduction",""
"SCEN-001","Forecast","Deterministic scenarios","Starting household value","calculated","Ledger plus latest prices","Adds selected cash and priced lots.","StartingValue=SUM(Cash)+SUM(Shares*LatestPrice)","'=SUM(SelectedCash)+SUMPRODUCT(Holdings!Shares,Holdings!LatestPrice)","Selected portfolios; current prices","USD","Scenario as-of date","$0 display","$0.01 raw; $0.50 display","Missing current price refuses scenario.","Correct.","Critical","Retain.","chat_alpaca/scenarios.py:run_deterministic_scenario","Requires reconciliation",""
"SCEN-002","Forecast","Deterministic scenarios","Baseline","calculated","Scenario assumptions","Compounds monthly at the expected annual return, adds monthly contribution, and subtracts monthly spending.","m=(1+R)^(1/12)-1; V_m=V_(m-1)*(1+m)+Contribution-Spending/12","'=REDUCE(StartValue,SEQUENCE(Years*12),LAMBDA(v,k,v*(1+POWER(1+AnnualReturn,1/12)-1)+MonthlyContribution-AnnualSpending/12))","Start; return; contribution; spending; years","USD","Scenario horizon","$0 display","$0.01 deterministic; $0.50 display","Invalid inputs rejected.","Transparent deterministic baseline.","High","Retain.","chat_alpaca/scenarios.py:_compound","Requires independent check",""
"SCEN-003","Forecast","Deterministic scenarios","Scenario","calculated","Selected stress type","Applies the scenario-specific shock or alternate compounding rule.","ScenarioValue = scenario-specific function(StartValue, assumptions, exposures)","'=BaselineValue+SUM(ScenarioImpacts)","Baseline; exposures; assumptions","USD","Scenario horizon","$0 display","$0.01 deterministic; $0.50 display","Scenario refuses missing required inputs.","Transparent but interpretation varies by scenario.","Critical","Maintain one audit row per scenario subtype.","chat_alpaca/scenarios.py:run_deterministic_scenario","Requires subtype tests",""
"SCEN-004","Forecast","Deterministic scenarios","Household impact","calculated","Scenario result","Scenario value less baseline.","Impact=ScenarioValue-BaselineValue","'=ScenarioValue-BaselineValue","Scenario; baseline","USD","Scenario horizon","$0 display","$0.01 raw; $0.50 display","Unavailable when scenario fails.","Correct.","Critical","Retain.","chat_alpaca/scenarios.py:run_deterministic_scenario","Requires independent check",""
"SCEN-005","Forecast","Deterministic scenarios","Broad-market; holding; sector impact","calculated","Current exposure plus shock","Multiplies exposed market value by the selected shock.","Impact=ExposedValue*Shock","'=ExposedValue*ShockRate","Holding or sector exposure; shock","USD","Immediate shock","$0 display","$0.01 raw; $0.50 display","Zero exposure gives zero or rejects unavailable target.","Correct first-order deterministic shock.","High","Retain with no-correlation/no-liquidity disclaimer.","chat_alpaca/scenarios.py:run_deterministic_scenario","Requires subtype tests",""
"SCEN-006","Forecast","Deterministic scenarios","Dividend reduction","calculated","Trailing dividend ledger","Repeats a fixed fraction of positive trailing-365 dividend income over every scenario year.","Impact=-Trailing365PositiveDividends*ReductionRate*Years","'=-Trailing365Dividends*ReductionRate*Years","Positive dividend cash; reduction; years","USD","Scenario horizon","$0 display","$0.01 raw; $0.50 display","No dividends produces zero and warning.","Simple and transparent but omits growth and opportunity cost.","Medium","Retain only with explicit constant-income/no-reinvestment assumption.","chat_alpaca/scenarios.py:run_deterministic_scenario","Disclosure required",""
"SCEN-007","Forecast","Deterministic scenarios","Inflation scenario","calculated","Baseline nominal value and inflation assumptions","Deflates baseline nominal value at base and higher inflation rates.","BaselineReal=BaselineNominal/(1+Inflation)^Years; ScenarioReal=BaselineNominal/(1+Inflation+Increase)^Years","'=BaselineNominal/POWER(1+InflationRate,Years)","Nominal baseline; inflation; increase; years","Real USD","Scenario horizon","$0 display","$0.01 raw; $0.50 display","Invalid inflation rejected.","Correct purchasing-power comparison.","High","Retain.","chat_alpaca/scenarios.py:run_deterministic_scenario","Requires independent check",""
"SCEN-008","Forecast","Deterministic scenarios","Historical replay","calculated","Persisted historical price datasets","Applies each holding's selected historical-period simple return to current value.","HistoricalImpact=SUM(CurrentValue_s*(EndPrice_s/StartPrice_s-1))","'=SUMPRODUCT(CurrentValues,HistoricalEndPrices/HistoricalStartPrices-1)","Current exposures; referenced price window","USD","Selected replay window","$0 display","$0.01 raw; $0.50 display","Requires dataset references and at least two observations per symbol.","Appropriate deterministic replay.","High","Retain exact dataset IDs and proxy disclosures.","chat_alpaca/scenarios.py:run_deterministic_scenario","Requires dataset reproduction",""
"SCEN-009","Forecast","Deterministic scenarios","Sensitivity fields","calculated","Repeated deterministic runs","Sensitivity varies the intended stressed parameter while preserving an isolated baseline and stable remaining inputs.","Run each varied parameter against the unchanged baseline assumptions and seed","'=IF(BaselineValue=0,NA(),(ScenarioValue-BaselineValue)/BaselineValue)","Sensitivity assumptions; scenario outputs","Mixed","Scenario horizon","Displayed by type","0.000001 return; $0.01 currency","Unavailable when scenario cannot run.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Make the varied parameter explicit and align low-return sensitivity with the intended stressed parameter.","chat_alpaca/scenarios.py:sensitivity_grid","Implemented and tested","Sensitivity varies the intended stressed parameter while preserving an isolated baseline and stable remaining inputs."
"MANAGE-001","Manage","Transactions","Portfolio; Date; Action; Type; Symbol; Quantity; Price; Fees; Cash change; Description; Source","database-passthrough","Canonical transaction records","Displays stored canonical transaction fields after date and type filtering.","N/A - source reconciliation","'=FILTER(Transactions!A:K,Transactions!B:B>=CustomStart,Transactions!B:B<=CustomEnd)","Stored transactions","Mixed","Applied range","Column-specific display formats","Exact stored values; numeric tolerances by field","No matches produces empty table.","Appropriate passthrough.","Critical","Retain and reconcile to audit history after edits.","streamlit_app.py:transaction_frame","Requires source reconciliation",""
"MANAGE-002","Manage","CSV preview","Category","calculated-label","Parsed transaction kind","Title-cases the normalized transaction kind.","Category=PROPER(SUBSTITUTE(kind,""_"" ,"" ""))","'=PROPER(SUBSTITUTE(TypeCode,""_"","" ""))","Parsed kind","Text","Imported row","Text","Exact text mapping","Parsing errors shown separately.","Correct presentation label.","Low","Retain.","chat_alpaca/commands.py:transaction_kind_label","Requires mapping check",""
"MANAGE-003","Manage","Portfolio settings","Account type","database-passthrough","Portfolio configuration","Displays Traditional IRA, Roth IRA, Taxable, or Unknown classification.","N/A - source reconciliation","'=XLOOKUP(PortfolioID,Portfolios!A:A,Portfolios!C:C)","Portfolio record","Category","Current/effective state","Text","Exact","Unknown remains explicit.","Appropriate.","Critical","Retain; retirement tax behavior depends on it.","chat_alpaca/portfolio_configuration.py","Requires source reconciliation",""
"MANAGE-004","Manage","Benchmark history","Components","calculated-display","Effective-dated benchmark configuration","Displays component target weights as percentages.","DisplayWeight=stored decimal weight*100","'=TEXTJOIN("", "",TRUE,FILTER(Benchmark!Symbol&"" ""&TEXT(Benchmark!Weight,""0.####%""),Benchmark!PortfolioID=PortfolioID,Benchmark!EffectiveDate=EffectiveDate))","Stored symbols and decimal weights","Percent","Effective date forward","Display g%","Weights sum within 0.0001 percentage points of 100%","Missing configuration displays none; default SPY may apply elsewhere.","Validation is strong.","High","Retain effective-dated immutability.","chat_alpaca/portfolio_configuration.py","Requires source reconciliation",""
"MANAGE-005","Manage","Benchmark history","Rebalancing","database-passthrough","Benchmark configuration","Displays configured daily, monthly, quarterly, annual, or none frequency.","N/A - source reconciliation","'=XLOOKUP(ConfigurationID,Benchmark!ID:ID,Benchmark!Frequency:Frequency)","Configuration","Category","Effective configuration","Text","Exact","Missing configuration handled separately.","Correct.","Medium","Retain.","chat_alpaca/portfolio_configuration.py","Requires source reconciliation",""
"TRADE-001","Trade","Alpaca account","Equity; Cash; Buying power; Status","broker-provider-passthrough","Alpaca Trading API","Displays provider account fields without DashApp recalculation.","N/A - reconcile to provider response timestamp","'=XLOOKUP(FieldName,AlpacaAccount!A:A,AlpacaAccount!B:B)","Provider response","Mixed","Provider as-of time","Currency displayed $0; status text","Exact provider value before display; $0.50 display","Unavailable on provider error.","Correct passthrough; not internally auditable as a formula.","Critical","Store or capture provider timestamp during formal validation.","streamlit_app.py:render_trade_admin","Requires provider reconciliation",""
"TRADE-002","Trade; Monitor","Orders","Requested; Filled; Avg fill; Status; Submitted; Alpaca order ID","broker-provider-and-database-passthrough","Alpaca API synchronized allocation record","Displays requested quantity and synchronized order status/fills.","N/A - reconcile persisted allocation to Alpaca order","'=XLOOKUP(OrderID,AlpacaOrders!A:A,AlpacaOrders!B:Z)","Order allocation and provider response","Mixed","Latest synchronization","Quantity 2 decimals; fill $0.00","0.00000001 shares; $0.01 price; exact status and ID","Unsynchronized values may be stale.","Appropriate with explicit sync workflow.","Critical","Retain freshness and synchronization disclosure.","streamlit_app.py:allocation_frame; chat_alpaca/trading.py","Requires provider reconciliation",""
"TRADE-003","Trade","Fill synchronization","Incremental fill quantity","calculated","Provider fill totals plus applied allocation totals","Posts only newly filled shares.","IncrementalQty=ProviderFilledQty-AppliedQty","'=ProviderFilledQty-AppliedQty","Provider filled quantity; applied quantity","Shares","Sync time","Stored precision","0.00000001 shares","No positive increment creates no transaction.","Correct idempotent approach.","Critical","Retain.","chat_alpaca/trading.py:sync_allocations","Requires integration test",""
"TRADE-004","Trade","Fill synchronization","Incremental fill price and cash","calculated","Provider fill totals","Derives new fill notional from cumulative totals, then its effective price and cash effect.","IncrementalNotional=FilledQty*AvgPrice-AppliedNotional; EffectivePrice=IncrementalNotional/IncrementalQty; BuyCash=-IncrementalNotional; SellCash=IncrementalNotional","'=ProviderFilledQty*ProviderAvgPrice-AppliedNotional","Provider totals; prior applied totals; side","USD; USD/share","Sync date","Notional quantized $0.0001","$0.01 cash; $0.0001 notional","No incremental quantity produces no transaction.","Strong duplicate-resistant fill accounting.","Critical","Retain; reconcile provider fees if later supplied.","chat_alpaca/trading.py:sync_allocations","Requires integration test",""
"MON-001","Monitor","Quotes","Midpoint","calculated","Alpaca IEX quote","Averages a valid positive bid and ask.","Midpoint=(Bid+Ask)/2","'=(BidCell+AskCell)/2","Bid; ask","USD/share","Quote time","$0.00 display","$0.005 display; exact raw","Unavailable without valid two-sided positive quote.","Standard.","Medium","Retain.","chat_alpaca/realtime.py:QuoteRecord.midpoint","Requires quote check",""
"MON-002","Monitor","Quotes","Spread","calculated","Alpaca IEX quote","Ask less bid.","Spread=Ask-Bid","'=AskCell-BidCell","Bid; ask","USD/share","Quote time","$0.00 display","$0.005 display; exact raw","Unavailable without both sides.","Standard.","Low","Also consider SpreadPercent=Spread/Midpoint.","chat_alpaca/realtime.py:QuoteRecord.spread","Review suggested",""
"MON-003","Monitor","Quotes","Price","calculated-fallback","Alpaca IEX plus confirmed close","Uses latest trade, then midpoint, then previous close.","Price=COALESCE(LatestTrade,Midpoint,PreviousClose)","'=IF(ISNUMBER(LatestTrade),LatestTrade,IF(ISNUMBER(Midpoint),Midpoint,PreviousClose))","Trade; bid; ask; prior close","USD/share","Quote/as-of time","$0.00 display","$0.005 display; exact raw","Unavailable if all sources absent.","Reasonable hierarchy with provenance.","High","Retain source and freshness fields.","chat_alpaca/realtime.py:QuoteRecord.price","Requires quote check",""
"MON-004","Monitor","Portfolio pulse","Value; Exposure value","calculated","Shares plus indicative quote","Multiplies current shares by indicative price.","Value=Shares*IndicativePrice","'=SharesCell*IndicativePriceCell","Shares; price","USD","Quote time","$0 display","$0.01 raw; $0.50 display","Unavailable without price.","Correct indicative valuation.","Critical","Retain IEX-indicative label.","chat_alpaca/realtime.py:build_portfolio_pulse","Requires quote reconciliation",""
"MON-005","Monitor","Portfolio pulse","Selected Totals","calculated","Ledger cash plus indicative values","Cash-only Monitor value equals cash; share of net daily P/L is unavailable below an absolute $0.01 denominator and calculable at exactly $0.01.","Total=Cash+SUM(HoldingValues) if complete","'=IF(COUNT(HoldingValues)=HeldSymbolCount,Cash+SUM(HoldingValues),NA())","Cash; all holding values","USD","Quote time","$0 display","$0.01 raw; $0.50 display","Any missing price makes total unavailable.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Retain.","chat_alpaca/realtime.py:build_portfolio_pulse","Implemented and tested","Cash-only Monitor value equals cash; share of net daily P/L is unavailable below an absolute $0.01 denominator and calculable at exactly $0.01."
"MON-006","Monitor","Portfolio pulse","Daily change; Daily contribution","calculated","Intraday quote plus previous close","Measures dollar move from previous close by holding and portfolio.","Change_s=Shares_s*(IntradayPrice_s-PreviousClose_s); Total=SUM(Change_s)","'=SharesCell*(IntradayPriceCell-PreviousCloseCell)","Shares; latest trade or midpoint; prior close","USD","Active session","$0 display","$0.01 raw; $0.50 display","Any missing component makes relevant aggregate unavailable.","Standard indicative mark-to-close.","High","Retain freshness and extended-hours disclosure.","chat_alpaca/realtime.py:build_portfolio_pulse","Requires quote reconciliation",""
"MON-007","Monitor","Portfolio pulse","Share of net daily P/L","calculated","Holding daily changes","Cash-only Monitor value equals cash; share of net daily P/L is unavailable below an absolute $0.01 denominator and calculable at exactly $0.01.","ShareOfNetDailyPL = HoldingChange/TotalNetChange when ABS(TotalNetChange) >= 0.01; otherwise unavailable","'=IF(ABS(TotalNetChange)<0.01,NA(),HoldingChange/TotalNetChange)","Holding and total daily change","Ratio","Active session","0% display","0.000001 raw; 0.5 percentage point displayed","Current code returns unavailable only when total equals exactly zero.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Rename Share of net daily P/L; retain dollar contribution; define a near-zero denominator threshold.","chat_alpaca/realtime.py:build_portfolio_pulse","Implemented and tested","Cash-only Monitor value equals cash; share of net daily P/L is unavailable below an absolute $0.01 denominator and calculable at exactly $0.01."
"MON-008","Monitor","Market context","Daily; 1M; 3M; 12M return","calculated","Benchmark total-return closes","Calculates latest simple return and approximate 21, 63, and 252-session returns.","PeriodReturn=Latest/LookbackObservation-1","'=LatestPrice/INDEX(PriceRange,ROWS(PriceRange)-LookbackIntervals)-1","Price series","Decimal return","Latest history","0% display","0.000001 raw; 0.5 percentage point display","Unavailable with insufficient history.","Standard approximate trading-day windows.","Medium","Label actual observation dates when history is short.","chat_alpaca/realtime.py:market_context_metrics","Disclosure suggested",""
"MON-009","Monitor","Market context","Trend","calculated","Benchmark closes","Compares latest level with mean of latest 50 observations.","Trend=IF(Latest>=AVERAGE(last50),above,below)","'=IF(COUNTA(PriceRange)<50,""insufficient history"",IF(LatestPrice>=AVERAGE(TAKE(PriceRange,-50)),""above 50-day average"",""below 50-day average""))","Price series","Category","Latest 50 observations","Text","Exact classification","Explicit insufficient-history label.","Correct.","Low","Retain.","chat_alpaca/realtime.py:market_context_metrics","Requires independent check",""
"MON-010","Monitor","Market context","Drawdown","calculated","Benchmark closes","Latest level relative to historical running peak.","Drawdown=Latest/MAX(History)-1","'=LatestPrice/MAX(PriceRange)-1","Price series","Decimal return","Available history","0% display","0.000001 raw; 0.5 percentage point display","Unavailable without history.","Correct current drawdown.","Medium","Clarify it is current drawdown, not maximum drawdown.","chat_alpaca/realtime.py:market_context_metrics","Disclosure suggested",""
"MON-011","Monitor","Market context","Realized volatility","calculated","Latest returns","Annualizes sample standard deviation of the latest 21 returns.","Vol21=STDEV.S(last21 returns)*SQRT(252)","'=STDEV.S(TAKE(ReturnRange,-21))*SQRT(252)","Returns","Decimal annual volatility","Latest 21 returns","0% display","0.000001 raw; 0.5 percentage point display","Unavailable below two returns.","Standard.","Medium","Retain.","chat_alpaca/realtime.py:market_context_metrics","Requires independent check",""
"MON-012","Monitor","Market context","21-day SPY correlation; regime","calculated","Aligned proxy and SPY returns","Calculates Pearson correlation; labels high when at least 0.7, otherwise mixed.","Corr=CORREL(last21 proxy returns,last21 SPY returns); Regime=IF(Corr>=0.7,high,mixed)","'=CORREL(TAKE(ProxyReturns,-21),TAKE(SPYReturns,-21))","Aligned returns","Correlation; category","Latest 21 returns","0% correlation display; text regime","0.000001 raw; 0.5 percentage point display","Unavailable without SPY or adequate pairs.","Formula correct; regime has no low/negative category.","Medium","Consider high, mixed, low, and negative regimes.","chat_alpaca/realtime.py:market_context_metrics","Review suggested",""
"HYPO-001","Hypothetical","Proposed actions","Buy cash and basis","calculated","Copied scenario state","Reduces cash by notional plus fees and creates a lot whose unit basis includes fees.","CashAfter=CashBefore-Qty*Price-Fees; UnitBasis=(Qty*Price+Fees)/Qty","'=CashBefore-Quantity*Price-Fees","Copied cash; quantity; price; fees","USD","Scenario as-of","Display varies","$0.01","Invalid proposals rejected.","Correct.","Critical","Retain.","chat_alpaca/hypothetical.py:_apply_actions","Requires independent check",""
"HYPO-002","Hypothetical","Proposed actions","Sell cash and FIFO","calculated","Copied scenario state","Consumes copied lots FIFO and adds net sale proceeds.","CashAfter=CashBefore+Qty*Price-Fees","'=CashBefore+Quantity*Price-Fees","Copied lots; quantity; price; fees","USD","Scenario as-of","Display varies","$0.01","Selling more than assigned is rejected.","Correct non-mutating analysis.","Critical","Retain.","chat_alpaca/hypothetical.py:_apply_actions","Requires independent check",""
"HYPO-003","Hypothetical","Summary","Before/After value; cash; market value; cost basis","calculated","Copied ledger state plus hypothetical actions","Revalues copied lots and cash before and after proposals.","TotalValue=Cash+SUM(Shares*AnalysisPrice); Basis=SUM(Shares*UnitBasis)","'=ScenarioCash+SUMPRODUCT(ScenarioLots!Shares,ScenarioLots!Price)","Copied state; actions; prices","USD","Market data as-of","$0 metrics; table raw","$0.01 raw; $0.50 metrics","Missing current price rejects analysis.","Correct.","Critical","Retain baseline hash and market-data timestamp.","chat_alpaca/hypothetical.py:_snapshot","Requires reproduction",""
"HYPO-004","Hypothetical","Exposure","Holding; assignment; sector weights","calculated","Scenario values and classifications","Divides exposure values by total value including cash.","Weight=ExposureValue/TotalValue","'=ExposureValue/TotalValue","Values; total; classifications","Decimal weight","Scenario as-of","Table raw","0.000001","Unclassified exposure remains explicit.","Correct; cash causes weights to sum below one.","High","Retain and disclose denominator.","chat_alpaca/hypothetical.py:_snapshot","Requires independent check",""
"HYPO-005","Hypothetical","Exposure","Benchmark-relative exposure","calculated","Holding and effective benchmark weights","Subtracts effective benchmark weight from holding weight.","RelativeWeight=HoldingWeight-BenchmarkWeight","'=HoldingWeight-BenchmarkWeight","Holding; benchmark weights","Decimal weight","Scenario as-of","Table raw","0.000001","Missing side defaults to zero.","Correct arithmetic.","High","Retain effective-date and benchmark-rebalancing assumptions.","chat_alpaca/hypothetical.py:_snapshot","Requires independent check",""
"HYPO-006","Hypothetical","Risk","Largest; top five; HHI concentration","calculated","Invested holding values","Largest and top-five use total-value holding weights; HHI uses invested-only weights.","Largest=MAX(HoldingWeights); Top5=SUM(LARGE(HoldingWeights,{1..5})); HHI=SUM((SymbolValue/MarketValue)^2)","'=SUMSQ(FILTER(SymbolValues,SymbolValues>0)/SUM(FILTER(SymbolValues,SymbolValues>0)))","Symbol values; total and market values","Weights; index","Scenario as-of","Table raw","0.000001","Zero market value produces HHI zero.","Correct but denominators differ.","High","Disclose cash treatment.","chat_alpaca/hypothetical.py:_snapshot","Disclosure required",""
"HYPO-007","Hypothetical","Risk","Effective holdings","calculated","HHI","Reciprocal of HHI.","EffectiveHoldings=1/HHI","'=IF(HHI=0,0,1/HHI)","HHI","Count-equivalent","Scenario as-of","Table raw","0.000001","Zero HHI returns zero.","Standard.","Medium","Retain.","chat_alpaca/hypothetical.py:_snapshot","Requires independent check",""
"HYPO-008","Hypothetical","Risk","Volatility","calculated","Historical daily covariance","Annualizes covariance and applies scenario total-value holding weights.","Volatility=SQRT(w'*(CovDaily*252)*w)","'=SQRT(MMULT(TRANSPOSE(Weights),MMULT(CovarianceAnnual,Weights)))","Returns; weights","Decimal annual volatility","Available return history","Table raw","0.000001","Unavailable with insufficient aligned returns.","Standard; cash is implicit zero-volatility allocation.","High","Retain with history window and cash disclosure.","chat_alpaca/hypothetical.py:_snapshot","Requires independent check",""
"HYPO-009","Hypothetical","Risk","Risk contribution","calculated","Covariance and weights","Euler contribution to total variance.","RC_i=w_i*(Cov*w)_i/(w'*Cov*w)","'=WeightCell*MarginalVarianceCell/PortfolioVariance","Weights; covariance","Ratio","Available return history","Table raw","0.000001","Unavailable at nonpositive variance.","Standard; can be negative.","High","Retain negative contributions.","chat_alpaca/hypothetical.py:_snapshot","Requires independent check",""
"HYPO-010","Hypothetical","Risk","Maximum drawdown exposure","calculated","Historical weighted returns","Computes worst drawdown of a synthetic constant-weight return series.","Wealth_t=PRODUCT(1+w'R_t); Drawdown=MIN(Wealth_t/MAX_to_date(Wealth)-1)","'=MIN(MAP(SEQUENCE(ROWS(WealthRange)),LAMBDA(i,INDEX(WealthRange,i)/MAX(TAKE(WealthRange,i))-1)))","Aligned returns; weights","Decimal return","Available history","Table raw","0.000001","Unavailable with insufficient history.","Reasonable historical exposure statistic; not trade-rebalanced path accurate.","High","Label Historical constant-weight drawdown.","chat_alpaca/hypothetical.py:_snapshot","Disclosure suggested",""
"HYPO-011","Hypothetical","Risk","Expected return","calculated","Owner-entered common assumption","Weights symbol assumptions; current UI assigns the same entered return to every current and proposed symbol.","ExpectedReturn=SUM(HoldingWeight_s*AssumedReturn_s)","'=SUMPRODUCT(HoldingWeights,ExpectedReturns)","Weights; assumptions","Decimal annual return","Scenario horizon assumption","Table raw","0.000001","Current UI populates all involved symbols.","Correct arithmetic; cash earns zero implicitly.","High","Retain but disclose cash drag and common-return simplification.","chat_alpaca/hypothetical.py:_snapshot; streamlit_app.py","Disclosure required",""
"HYPO-012","Hypothetical","Risk","Forecast target probability; downside P5/P25","stochastic-summary","5,000 seeded lognormal simulations","Runs the simple forecast model from scenario total value using weighted expected return and historical volatility.","Same formulas as FORECAST-002 through FORECAST-006 with 5,000 simulations and seed 20260720","'=COUNTIF(HypoSimulations!Terminal:Terminal,"">=""&Target)/COUNT(HypoSimulations!Terminal:Terminal)","Scenario value; return; volatility; target","Probability; USD","Configured hypothetical horizon","Table raw","Exact with identical simulations","Target probability absent without target.","Consistent with simple forecast limitations.","High","Retain model and seed disclosure.","chat_alpaca/hypothetical.py:_snapshot","Requires seeded reproduction",""
"HYPO-013","Hypothetical","Risk","Deterministic stress loss","calculated","Scenario exposures and configured shock","Applies broad-market, symbol, or sector shock to exposed value.","StressLoss=ExposedValue*Shock","'=ExposedValue*ShockRate","Exposure; shock","USD","Immediate scenario","Table raw","$0.01","Unknown stress category may resolve to zero exposure.","Correct first-order stress.","Medium","Retain category disclosure.","chat_alpaca/hypothetical.py:_snapshot","Requires independent check",""
"HYPO-014","Hypothetical","Retirement","Depletion Probability","stochastic-summary","Simplified hypothetical retirement simulation","Depletion Probability reports terminal depletion and is paired with the approved simplified-model limitation disclosure.","DepletionProbability = COUNT(TerminalValue=0)/N","'=COUNTIF(HypoRetirement!Terminal:Terminal,"">0"")/COUNT(HypoRetirement!Terminal:Terminal)","Value; expected return; volatility; spending; horizon; seed","Probability","20-40 years","Table raw","Exact with identical simulations","Absent when retirement option disabled.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Label Simplified retirement depletion probability or replace with the full account-aware retirement engine.","chat_alpaca/hypothetical.py:_retirement_probability","Implemented and tested","Depletion Probability reports terminal depletion and is paired with the approved simplified-model limitation disclosure."
"HYPO-015","Hypothetical","Saved scenarios","Name; Creator; Created; Market data as of; Stale baseline","database-passthrough-and-calculated-status","Saved scenario plus ledger hash","Displays saved metadata; stale is true when the current scoped ledger hash differs from the saved baseline hash.","StaleBaseline = CurrentLedgerHash<>SavedLedgerHash","'=CurrentLedgerHash<>SavedLedgerHash","Saved record; current ledger hash","Mixed","Read time","Text; Boolean","Exact","Missing scenario produces no row.","Strong change-detection control.","High","Retain.","chat_alpaca/hypothetical.py:load_hypothetical_scenarios","Requires hash reproduction",""
"RET-001","Service output not currently displayed","Retirement model","Monthly inflation","calculated-assumption","Retirement profile","Converts annual inflation to an effective monthly rate.","MonthlyInflation=(1+AnnualInflation)^(1/12)-1","'=POWER(1+AnnualInflation,1/12)-1","Annual inflation","Decimal monthly rate","Planning horizon","Full precision","0.000001","Invalid inflation rejected.","Correct.","High","Retain.","chat_alpaca/retirement.py:_simulate","Requires independent check",""
"RET-002","Service output not currently displayed","Retirement model","Monthly fee","calculated-assumption","Retirement assumptions","Converts annual fee to an effective monthly deduction.","MonthlyFee=1-(1-AnnualFee)^(1/12)","'=1-POWER(1-AnnualFee,1/12)","Annual fee","Decimal monthly rate","Planning horizon","Full precision","0.000001","Invalid fee rejected.","Correct effective-rate conversion.","High","Retain.","chat_alpaca/retirement.py:_simulate","Requires independent check",""
"RET-003","Service output not currently displayed","Retirement model","Account balances after returns and fees","stochastic-calculated","Sampled portfolio returns","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","Balance_a,m = Balance_a,m-1 * (1 + weighted account-specific return_a,m) * (1-MonthlyFee)","'=PriorBalance*(1+PortfolioReturn)*(1-MonthlyFee)","Account balances; sampled return; fee","USD","Monthly","Percentile output","Exact with same paths","Invalid sampled dimensions rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","Critical","Disclose common-allocation assumption or model account-specific allocations.","chat_alpaca/retirement.py:_simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"RET-004","Service output not currently displayed","Retirement model","Contributions","calculated","Profile and allocation weights","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash.","MonthlyDeposit = contribution amount for monthly frequency, else annual amount/12; deposit at month-end","'=ContributionAmount*AccountContributionWeight","Contribution; frequency; account balances/configured weights","USD","Pre-retirement months","Raw","$0.01","Invalid allocations rejected.","Implemented approved methodology with independent reference tests; passing tests are not proof of methodology correctness.","High","Explicitly disclose beginning-of-year annual timing.","chat_alpaca/retirement.py:_contribution_weights; _simulate","Implemented and tested","Retirement remediation implements account allocations, equal month-end deposits, fixed Social Security taxable fraction disclosure, owner RMDs, qualified Roth/no Traditional basis assumptions, taxable FIFO-plus-cash basis, proportional basis reduction, and retained surplus cash."
"RET-005","Service output not currently displayed","Retirement model","Fixed real spending","calculated","Retirement profile","Inflates fixed real annual spending from as-of and divides it monthly.","NominalSpending_m=RealAnnualSpending/12*(1+MonthlyInflation)^m","'=RealAnnualSpending/12*POWER(1+MonthlyInflation,MonthNumber)","Real spending; inflation; month","USD","Retirement months","Raw","$0.01","Nonnegative validation.","Correct fixed-real spending method.","High","Retain.","chat_alpaca/retirement.py:_simulate","Requires independent check",""
